,Pokedex_number,Name,Evolution,Base_type,Secondary_type,Abilities,Generation,Legendary,Attack,Defense,Hp,Sp_attack,Sp_defense,Speed,Height_m,Weight_kg,Against_bug,Against_dark,Against_dragon,Against_electric,Against_fairy,Against_fight,Against_fire,Against_flying,Against_ghost,Against_grass,Against_ground,Against_ice,Against_normal,Against_poison,Against_psychic,Against_rock,Against_steel,Against_water,Base_egg_steps,Base_happiness,Base_total,Capture_rate,Experience_growth
10,11,Metapod,Butterfree,Bug,Nan,['Shed Skin'],1.0,0.0,20,55,50,25,25,30,0.7,9.9,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,205,120,1000000.0
11,12,Butterfree,Unknown,Bug,Flying,"['Compoundeyes', 'Tinted Lens']",1.0,0.0,45,50,60,90,80,70,1.1,32.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3840.0,70.0,395,45,1000000.0
12,13,Weedle,Kakuna,Bug,Poison,"['Shield Dust', 'Run Away']",1.0,0.0,35,30,40,20,20,50,0.3,3.2,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,3840.0,70.0,195,255,1000000.0
13,14,Kakuna,Beedrill,Bug,Poison,['Shed Skin'],1.0,0.0,25,50,45,25,25,35,0.6,10.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,3840.0,70.0,205,120,1000000.0
14,15,Beedrill,Unknown,Bug,Poison,"['Swarm', 'Sniper']",1.0,0.0,150,40,65,15,80,145,1.0,29.5,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,3840.0,70.0,495,45,1000000.0
15,16,Pidgey,Pidgeotto,Normal,Flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.0,0.0,45,40,40,35,35,56,0.3,1.8,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,251,255,1059860.0
16,17,Pidgeotto,Pidgeot,Normal,Flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.0,0.0,60,55,63,50,50,71,1.1,30.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,349,120,1059860.0
17,18,Pidgeot,Unknown,Normal,Flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.0,0.0,80,80,83,135,80,121,1.5,39.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,579,45,1059860.0
18,19,Rattata,Raticate,Normal,Dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,0.0,56,35,30,25,35,72,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840.0,70.0,253,255,1000000.0
19,20,Raticate,Unknown,Normal,Dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,0.0,71,70,75,40,80,77,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840.0,70.0,413,127,1000000.0
20,21,Spearow,Fearow,Normal,Flying,"['Keen Eye', 'Sniper']",1.0,0.0,60,30,40,31,31,70,0.3,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,262,255,1000000.0
21,22,Fearow,Unknown,Normal,Flying,"['Keen Eye', 'Sniper']",1.0,0.0,90,65,65,61,61,100,1.2,38.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840.0,70.0,442,90,1000000.0
22,23,Ekans,Arbok,Poison,Nan,"['Intimidate', 'Shed Skin', 'Unnerve']",1.0,0.0,60,44,35,40,54,55,2.0,6.9,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120.0,70.0,288,255,1000000.0
23,24,Arbok,Unknown,Poison,Nan,"['Intimidate', 'Shed Skin', 'Unnerve']",1.0,0.0,95,69,60,65,79,80,3.5,65.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120.0,70.0,448,90,1000000.0
24,25,Pikachu,Raichu,Electric,Nan,"['Static', 'Lightningrod']",1.0,0.0,55,40,35,50,50,90,0.4,6.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2560.0,70.0,320,190,1000000.0
25,26,Raichu,Unknown,Electric,Electric,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,0.0,85,50,60,95,85,110,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2560.0,70.0,485,75,1000000.0
26,27,Sandshrew,Sandslash,Ground,Ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,0.0,75,90,50,10,35,40,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120.0,70.0,300,255,1000000.0
27,28,Sandslash,Unknown,Ground,Ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,0.0,100,120,75,25,65,65,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120.0,70.0,450,90,1000000.0
28,29,Nidoran♀,Nidorina,Poison,Nan,"['Poison Point', 'Rivalry', 'Hustle']",1.0,0.0,47,52,55,40,40,41,0.4,7.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120.0,70.0,275,235,1059860.0
29,30,Nidorina,Nidoqueen,Poison,Nan,"['Poison Point', 'Rivalry', 'Hustle']",1.0,0.0,62,67,70,55,55,56,0.8,20.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120.0,70.0,365,120,1059860.0
30,31,Nidoqueen,Unknown,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",1.0,0.0,92,87,90,75,85,76,1.3,60.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,5120.0,70.0,505,45,1059860.0
31,32,Nidoran♂,Nidorino,Poison,Nan,"['Poison Point', 'Rivalry', 'Hustle']",1.0,0.0,57,40,46,40,40,50,0.5,9.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120.0,70.0,273,235,1059860.0
32,33,Nidorino,Nidoking,Poison,Nan,"['Poison Point', 'Rivalry', 'Hustle']",1.0,0.0,72,57,61,55,55,65,0.9,19.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,5120.0,70.0,365,120,1059860.0
33,34,Nidoking,Unknown,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",1.0,0.0,102,77,81,85,75,85,1.4,62.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,5120.0,70.0,505,45,1059860.0
34,35,Clefairy,Clefable,Fairy,Nan,"['Cute Charm', 'Magic Guard', 'Friend Guard']",1.0,0.0,45,48,70,60,65,35,0.6,7.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2560.0,140.0,323,150,800000.0
35,36,Clefable,Unknown,Fairy,Nan,"['Cute Charm', 'Magic Guard', 'Unaware']",1.0,0.0,70,73,95,95,90,60,1.3,40.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2560.0,140.0,483,25,800000.0
36,37,Vulpix,Ninetales,Fire,Ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",1.0,0.0,41,40,38,50,65,65,,,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120.0,70.0,299,190,1000000.0
37,38,Ninetales,Unknown,Fire,Ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",1.0,0.0,67,75,73,81,100,109,,,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120.0,70.0,505,75,1000000.0
38,39,Jigglypuff,Wigglytuff,Normal,Fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",1.0,0.0,45,20,115,45,25,20,0.5,5.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2560.0,70.0,270,170,800000.0
39,40,Wigglytuff,Unknown,Normal,Fairy,"['Cute Charm', 'Competitive', 'Frisk']",1.0,0.0,70,45,140,85,50,45,1.0,12.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2560.0,70.0,435,50,800000.0
40,41,Zubat,Golbat,Poison,Flying,"['Inner Focus', 'Infiltrator']",1.0,0.0,45,35,40,30,40,55,0.8,7.5,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,3840.0,70.0,245,255,1000000.0
41,42,Golbat,Crobat,Poison,Flying,"['Inner Focus', 'Infiltrator']",1.0,0.0,80,70,75,65,75,90,1.6,55.0,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,3840.0,70.0,455,90,1000000.0
42,43,Oddish,Gloom,Grass,Poison,"['Chlorophyll', 'Run Away']",1.0,0.0,50,55,45,75,65,30,0.5,5.4,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120.0,70.0,320,255,1059860.0
43,44,Gloom,Vileplum,Grass,Poison,"['Chlorophyll', 'Stench']",1.0,0.0,65,70,60,85,75,40,0.8,8.6,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120.0,70.0,395,120,1059860.0
44,45,Vileplume,Unknown,Grass,Poison,"['Chlorophyll', 'Effect Spore']",1.0,0.0,80,85,75,110,90,50,1.2,18.6,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120.0,70.0,490,45,1059860.0
45,46,Paras,Parasect,Bug,Grass,"['Effect Spore', 'Dry Skin', 'Damp']",1.0,0.0,70,55,35,45,55,25,0.3,5.4,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,5120.0,70.0,285,190,1000000.0
46,47,Parasect,Unknown,Bug,Grass,"['Effect Spore', 'Dry Skin', 'Damp']",1.0,0.0,95,80,60,60,80,30,1.0,29.5,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,5120.0,70.0,405,75,1000000.0
47,48,Venonat,Venomoth,Bug,Poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",1.0,0.0,55,50,60,40,55,45,1.0,30.0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,5120.0,70.0,305,190,1000000.0
48,49,Venomoth,Unknown,Bug,Poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",1.0,0.0,65,60,70,90,75,90,1.5,12.5,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,5120.0,70.0,450,75,1000000.0
49,50,Diglett,Dugtrio,Ground,Ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,0.0,55,30,10,35,45,90,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120.0,70.0,265,255,1000000.0
50,51,Dugtrio,Unknown,Ground,Ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,0.0,100,60,35,50,70,110,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120.0,70.0,425,50,1000000.0
51,52,Meowth,Persian,Normal,Dark,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,0.0,35,35,40,50,40,90,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120.0,70.0,290,255,1000000.0
52,53,Persian,Unknown,Normal,Dark,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,0.0,60,60,65,75,65,115,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120.0,70.0,440,90,1000000.0
53,54,Psyduck,Golduck,Water,Nan,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,0.0,52,48,50,65,50,55,0.8,19.6,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120.0,70.0,320,190,1000000.0
54,55,Golduck,Unknown,Water,Nan,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,0.0,82,78,80,95,80,85,1.7,76.6,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120.0,70.0,500,75,1000000.0
55,56,Mankey,Primeape,Fighting,Nan,"['Vital Spirit', 'Anger Point', 'Defiant']",1.0,0.0,80,35,40,35,45,70,0.5,28.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120.0,70.0,305,190,1000000.0
56,57,Primeape,Unknown,Fighting,Nan,"['Vital Spirit', 'Anger Point', 'Defiant']",1.0,0.0,105,60,65,60,70,95,1.0,32.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120.0,70.0,455,75,1000000.0
57,58,Growlithe,Arcanine,Fire,Nan,"['Intimidate', 'Flash Fire', 'Justified']",1.0,0.0,70,45,55,70,50,60,0.7,19.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120.0,70.0,350,190,1250000.0
58,59,Arcanine,Unknown,Fire,Nan,"['Intimidate', 'Flash Fire', 'Justified']",1.0,0.0,110,80,90,100,80,95,1.9,155.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120.0,70.0,555,75,1250000.0
59,60,Poliwag,Poliwhirl,Water,Nan,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,0.0,50,40,40,40,40,90,0.6,12.4,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120.0,70.0,300,255,1059860.0
60,61,Poliwhirl,Poliwrath,Water,Nan,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,0.0,65,65,65,50,50,90,1.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120.0,70.0,385,120,1059860.0
61,62,Poliwrath,Unknown,Water,Fighting,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,0.0,95,95,90,70,90,70,1.3,54.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,5120.0,70.0,510,45,1059860.0
62,63,Abra,Kadabra,Psychic,Nan,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.0,0.0,20,15,25,105,55,90,0.9,19.5,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5120.0,70.0,310,200,1059860.0
63,64,Kadabra,Alakazam,Psychic,Nan,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.0,0.0,35,30,40,120,70,105,1.3,56.5,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5120.0,70.0,400,100,1059860.0
64,65,Alakazam,Unknown,Psychic,Nan,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.0,0.0,50,65,55,175,105,150,1.5,48.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5120.0,70.0,600,50,1059860.0
65,66,Machop,Machoke,Fighting,Nan,"['Guts', 'No Guard', 'Steadfast']",1.0,0.0,80,50,70,35,35,35,0.8,19.5,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120.0,70.0,305,180,1059860.0
66,67,Machoke,Machamp,Fighting,Nan,"['Guts', 'No Guard', 'Steadfast']",1.0,0.0,100,70,80,50,60,45,1.5,70.5,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120.0,70.0,405,90,1059860.0
67,68,Machamp,Unknown,Fighting,Nan,"['Guts', 'No Guard', 'Steadfast']",1.0,0.0,130,80,90,65,85,55,1.6,130.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,5120.0,70.0,505,45,1059860.0
68,69,Bellsprout,Weepinbell,Grass,Poison,"['Chlorophyll', 'Gluttony']",1.0,0.0,75,35,50,70,30,40,0.7,4.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120.0,70.0,300,255,1059860.0
69,70,Weepinbell,Victreebel,Grass,Poison,"['Chlorophyll', 'Gluttony']",1.0,0.0,90,50,65,85,45,55,1.0,6.4,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120.0,70.0,390,120,1059860.0
70,71,Victreebel,Unknown,Grass,Poison,"['Chlorophyll', 'Gluttony']",1.0,0.0,105,65,80,100,70,70,1.7,15.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120.0,70.0,490,45,1059860.0
71,72,Tentacool,Tentacruel,Water,Poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1.0,0.0,40,35,40,50,100,70,0.9,45.5,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,5120.0,70.0,335,190,1250000.0
72,73,Tentacruel,Unknown,Water,Poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1.0,0.0,70,65,80,80,120,100,1.6,55.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,5120.0,70.0,515,60,1250000.0
73,74,Geodude,Graveler,Rock,Ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,0.0,80,100,40,30,30,20,,,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,3840.0,70.0,300,255,1059860.0
74,75,Graveler,Golem,Rock,Ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,0.0,95,115,55,45,45,35,,,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,3840.0,70.0,390,120,1059860.0
75,76,Golem,Unknown,Rock,Ground,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,0.0,120,130,80,55,65,45,,,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,3840.0,70.0,495,45,1059860.0
76,77,Ponyta,Rapidash,Fire,Nan,"['Run Away', 'Flash Fire', 'Flame Body']",1.0,0.0,85,55,50,65,65,90,1.0,30.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120.0,70.0,410,190,1000000.0
77,78,Rapidash,Unknown,Fire,Nan,"['Run Away', 'Flash Fire', 'Flame Body']",1.0,0.0,100,70,65,80,80,105,1.7,95.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120.0,70.0,500,60,1000000.0
78,79,Slowpoke,Slowbro,Water,Psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",1.0,0.0,65,65,90,40,40,15,1.2,36.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,5120.0,70.0,315,190,1000000.0
79,80,Slowbro,Unknown,Water,Psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",1.0,0.0,75,180,95,130,80,30,1.6,78.5,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,5120.0,70.0,590,75,1000000.0
